trait_type,phenocode,pheno_sex,description,BIN_QT,n_cases_EUR,n_controls_EUR,N,Neff,filename,aws_link,estimates.final.h2_observed
icd10,Y45,both_sexes,"Y45 Analgesics, antipyretics and anti-inflammatory drugs",BIN,1322,419209.0,420531,2635.6882037233877,icd10-Y45-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Y45-both_sexes.tsv.bgz,-0.0013
icd10,Y83,both_sexes,"Y83 Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",BIN,21647,398884.0,420531,41065.424180381466,icd10-Y83-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Y83-both_sexes.tsv.bgz,0.0045
icd10,Y84,both_sexes,"Y84 Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",BIN,2923,417608.0,420531,5805.365996799284,icd10-Y84-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Y84-both_sexes.tsv.bgz,-8.28e-05
icd10,Z01,both_sexes,Z01 Other special examinations and investigations of persons without complaint or reported diagnosis,BIN,2692,417839.0,420531,5349.534697798736,icd10-Z01-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z01-both_sexes.tsv.bgz,-0.0016
icd10,Z02,both_sexes,Z02 Examination and encounter for administrative purposes,BIN,2836,417695.0,420531,5633.748855613499,icd10-Z02-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z02-both_sexes.tsv.bgz,-0.0009
icd10,Z03,both_sexes,Z03 Medical observation and evaluation for suspected diseases and conditions,BIN,12784,407747.0,420531,24790.74145782356,icd10-Z03-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z03-both_sexes.tsv.bgz,0.0011
icd10,Z04,both_sexes,Z04 Examination and observation for other reasons,BIN,1975,418556.0,420531,3931.449048940506,icd10-Z04-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z04-both_sexes.tsv.bgz,0.0003
icd10,Z08,both_sexes,Z08 Follow-up examination after treatment for malignant neoplasm,BIN,5980,414551.0,420531,11789.927401309298,icd10-Z08-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z08-both_sexes.tsv.bgz,0.0042
icd10,Z09,both_sexes,Z09 Follow-up examination after treatment for conditions other than malignant neoplasms,BIN,12678,407853.0,420531,24591.577477046878,icd10-Z09-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z09-both_sexes.tsv.bgz,0.0064
icd10,Z12,both_sexes,Z12 Special screening examination for neoplasms,BIN,8691,411840.0,420531,17022.77092533012,icd10-Z12-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z12-both_sexes.tsv.bgz,-0.0009
